name,latitude,longitude,bus,tram,strain,train,other
Eupener Str.,50.937456,6.889252,172;173,1,,,
Europaring,50.938733,7.064757,157;179,,,,TaxiBus 187
Euskirchener Str.,50.916835,6.917226,,13,,,
Eygelshovener Str.,50.878244,7.011083,130,,,,TaxiBus 197
Eythstr.,50.940099,7.010849,159;171,,,,
Falkenweg,50.955533,6.885027,141;143,,,,
Feldbergstr.,50.933779,6.994183,153,,,,
Feldkasseler Weg,51.034656,6.922818,121;124,,,,
Feltenstr.,50.962922,6.900291,139,,,,
Flachsweg,50.946041,6.860486,144,,,,
Flehbachstr.,50.94765,7.072641,,1,,,
Flittard Süd,50.998466,6.996538,151;152;250,,,,
Flittarder Feld,51.007581,6.994093,151;152;250,,,,
Florastr.,50.964505,6.953696,147,12;15,,,TaxiBus 184;TaxiBus 186
Florenzer Str.,51.022791,6.893639,121,,,,
Flughafen Personalparkplatz,50.875457,7.116104,161,,,,
Fordwerke Mitte,51.011869,6.95543,,12,,,
Fordwerke Nord,51.017361,6.95543,,12,,,
Fordwerke Süd,51.005837,6.955404,,12,,,
Frankenstr.,50.85329,6.927915,132;935,,,,
Frankenthaler Str.,50.968972,6.936194,127;147,,,,
Frankfurter Str.,50.915217,7.051247,151;152,,S19,RB25,
Frankstr.,50.894676,6.989697,130;134,,,,
Franz-Liszt-Str.,50.952504,6.899194,139;140,,,,
Franziska-Anneke-Str.,50.972127,6.91408,127,,,,
Frechener Weg,50.939074,6.82666,141,,,,
Freiligrathstr.,50.919657,6.904668,146,,,,
Friedensstr.,50.877264,7.097712,160,,,,
Friedhof Chorweiler,51.018134,6.881018,126,,,,
Friedhof Godorf,50.850369,6.971054,135,,,,
Friedhof Rodenkirchen,50.879188,7.00292,130,,,,TaxiBus 197
Friedhof Stammheim,50.987975,6.991612,151;152,,,,
Friedhof Steinneuerhof,50.873462,6.937452,131,,,,
Friedhof Worringen,51.062847,6.859893,120,,,,
Friedrich-Hirsch-Str.,50.876042,7.084066,162,,,,
Friedrich-Karl-Str.,50.974644,6.959817,147,,,,
Friesenplatz,50.940548,6.939951,172;173,3;4;5;12;15,,,
Fuggerstr.,50.905095,7.077477,154,,,,
Fuldaer Str.,50.941582,7.022499,153,1,,,
Further Str.,51.043448,6.84729,120,,,,
Fühlingen,51.036346,6.903167,120,,,,
Fühlinger Weg,51.020498,6.888047,121;125;126,,,,
Gaedestr.,50.900825,6.965435,132,,,,
Gauweg,50.962545,7.027263,159,,,,
Geestemünder Str.,51.001873,6.955305,124,12,,,
Geibelstr.,50.927954,6.918431,146,,,,
Geilenkircher Str.,50.942014,6.897522,140,,,,
Geisselstr.,50.943452,6.91657,142,,,,
Geldernstr./Parkgürtel,50.968469,6.941237,121;127;147,13,S6;S11,,
Gemarkenstr.,50.972316,7.078924,436,,,,
Gerolsteiner Str,50.917051,6.92369,130;131;134;978,,,,
Gewerbegebiet Bilderstöckchen,50.983436,6.913406,121,,,,
Gewerbegebiet Broichstr.,50.944584,7.059993,157,,,,
Gewerbegebiet Feldkassel,51.039852,6.915267,124,,,,
Gewerbegebiet Pesch,51.004354,6.87264,125;126;127,,,,
Gewerbegebiet Pesch-Nord,51.00457,6.874519,125,,,,
Gießener Str.,50.933842,7.000952,159,,,,
Gisbertstr.,50.98731,6.992097,155,,,,
Glashüttenstr.,50.888735,7.060811,154,,,,
Gleueler Str./Gürtel,50.923774,6.912264,146,13,,,
Godorf Bf,50.84751,6.978533,135,16,,,
Goldammerweg,50.957987,6.873359,141;143,,,,
Goldregenweg,50.979328,7.049026,157,,,,
Goltsteinstr./Gürtel,50.904744,6.97144,106;130;134,,,,
Gottesweg,50.910363,6.941569,131,12,,,
Graditzer Str.,50.982411,6.960707,147,,,,
Graf-Adolf-Str.,50.95823,7.009582,159;171,,,,
Graf-Zeppelin-Str.,50.881112,7.097658,160;161,,,,
Gremberg,50.92666,7.011379,153,,,,
Grengel Mauspfad,50.880321,7.103438,161,,,,
Grevenbroicher Str.,50.972793,6.865925,126,,,,
Grimmelshausenstr.,50.89046,7.002228,135,,,,
Gronauer Str.,50.965637,7.025969,159,,,,
Grunerstr.,50.976119,7.050249,157,,,,
Grüner Hof,50.975157,6.949408,121;140,,,,
Grüngürtelstr.,50.884752,7.005518,131;134,,,,
Grünstr.,50.955641,7.000314,,4,,,
Gummersbacher Str.,50.938166,6.987279,150,,,,
Gunther-Plüschow-Str.,50.979633,6.884622,139,,,,
Guntherstr.,50.858863,7.100247,160,,,,
Gutenbergstr.,50.950365,6.928274,,5,,,
Görlinger-Zentrum,50.980559,6.870357,,3,,,
Göttinger Str.,50.935613,6.839299,143;173,,,,
Güterverkehrszentrum,50.886865,6.920813,138,,,,
Güterverkehrszentrum Süd,50.881238,6.918683,138,,,,
Habichtstr.,50.876257,6.958604,131;132,,,,
Hackhauser Weg,51.061453,6.856297,120,,,,
Hahnwald,50.870019,6.977975,135,,,,
Halfengasse,50.992416,6.958792,147,,,,
Hammerschmidtstr.,50.870864,7.02089,131;134,,,,
Hans-Böckler-Platz/Bf West,50.943614,6.933407,172;173,3;4;5,,,
Hans-Offermann-Str.,50.924682,7.03307,191,,,,TaxiBus 191
Hansaring,50.948764,6.951628,127,12;15,S6;11;S12;S19,RB25,
Hansestr.,50.914165,7.065719,151,,,,
Hardthof,51.0043,7.068551,434,,,,
Hasencleverstr.,50.928728,7.055507,157;179,,,,
Haus Fühlingen,51.031241,6.906547,120,,,,
Haus Vorst,50.915666,6.848423,,7,,,
Havelstr.,51.026962,6.888488,126,,,,
Heeresamt,50.897454,6.951376,131,,,,
Heimersdorf,51.011968,6.906772,122;125,15,,,
Heimfriedweg,50.984047,7.03147,,,,,TaxiBus 189
Heinering,50.996156,6.872442,122;126;127,,,,
Heinrich-Bützler-Str.,50.935451,7.010606,193,,,,
Heinrich-Erpenbach-Str.,50.869057,7.006345,130,,,,TaxiBus 197
Heinrich-Lübke-Ufer,50.899908,6.984771,130;134,16;17,,,
Heinrich-Mann-Str.,50.98331,6.865206,127,,,,
Heinz-Kühn-Str.,50.966195,7.0602,154,,,,
Helaweg,51.033227,6.891005,,,,,AST 181
Herforder Str.,50.994609,6.926144,,15,,,
Hermann-Löns-Str.,51.005127,6.85343,126,,,,
Herrigergasse,50.941609,6.876442,144,,,,
Herstattallee,51.016993,6.903032,122;125,,,,
Herthastr.,50.912924,6.940796,,12,,,
Heumarkt,50.935712,6.959269,106;132;133;250;260;978,1;5;7;9,,,
Hildegardis-Krankenhaus,50.930543,6.922836,136;146,,,,
Hildegundweg,51.000848,7.02925,155;157,,,,
Hochkirchen,50.878999,6.962918,131;132,,,,
Hohenlind,50.924467,6.897315,136,,,,
Holweide S-Bahn,50.976271,7.041224,157,,S11,,
Holweide Vischeringstr.,50.967093,7.039471,157,3;13;18,,,
Honschaftsstr.,50.980991,7.031614,155;434,,,,TaxiBus 189
Hopfenstr.,50.942265,7.055417,157,,,,
Hugo-Eckener-Str.,50.977557,6.890933,127;139,,,,
Hugo-Junkers-Str.,50.987562,6.910161,121,,,,
Humboldtstr.,50.891566,7.069135,160,,,,
Häuschensweg,50.960999,6.901459,139,,,,
Höhenberg Frankfurter Str.,50.941753,7.029214,151;152,1,,,
Höhscheider Weg,50.987975,7.042015,155;157;434,,,,
Höningen Rondorfer Weg,50.880195,6.936868,131,,,,
Höningen Siedlung,50.88371,6.939439,131,,,,
IKEA Am Butzweilerhof,50.981872,6.894313,,5,,,
IKEA Godorf,50.861075,6.974353,135,,,,
Iltisstr.,50.965215,6.912022,140,5,,,
Im Buschfelde,50.967489,6.838193,145;149;172,,,,
Im Falkenhorst,50.888231,7.08003,151;152;160,,,,
Im Langen Bruch,50.952189,7.078169,154,,,,
Im Rheinpark,50.945816,6.975,150;250;260,,,,
Im Rheintal,50.855987,6.928661,132;935,,,,
Im Wasserfeld,50.911279,6.993455,159,,,,
Im Weidenbruch,50.980514,7.022553,260,4,,,TaxiBus 189
Im Wichemshof,51.043565,6.850302,120,,,,
Im Wirtskamp,50.998115,7.051795,154;434,,,,
Imbacher Weg,50.994088,7.040792,154;155;157;434,,,,
Immendorf,50.858513,6.959512,135,,,,
Immendorf Schule,50.856256,6.962307,135,,,,
Immendorf Siedlung,50.85382,6.965543,135,,,,
In Der Hardt,51.002583,7.063211,434,,,,
In der Kreuzau,50.907288,6.994057,,,,,TaxiBus 194
Indianapolis-Straße,50.968334,6.842724,145;962,,,,
Innere Kanalstr.,50.940548,6.92369,142,,,,
Jasminweg,50.978618,7.039749,155,,,,
Johannes-Prassel-Str.,51.014512,6.847092,125,,,,
Johannesstraße,50.998718,6.877773,122;123,,,,
Josef-Lammerting-Allee,50.945591,6.8874,140;141,,,,
Junkersdorf,50.937636,6.86837,141;143,1,,,
Justizzentrum,50.922309,6.938189,142,,,,
K Airport Businesspark,50.910273,7.044442,,,S12,,
Kalk Kapelle,50.938903,7.008458,159;171;179;193,1;9,,,
Kalk Post,50.93751,6.99839,159;171;179;193,1;9,,,
Kalk-Karree,50.935083,7.002264,193,,,,
Kalker Friedhof,50.942517,7.042149,,1,,,
Kalkweg,50.990313,7.0554,154,,,,
Kallbergstr.,51.04023,6.883247,120,,,,
Kapellenweg,51.001154,6.876919,122,,,,
Kappelsweg,50.977269,6.860468,126,,,,
Karl-Marx-Allee,51.024301,6.904246,120;121;125;126,,,,
Karl-Schwering-Platz,50.930966,6.916912,136,,,,
Karnevalsmuseum,50.945996,6.898079,139;141;143,,,,
Kartäuserhof,50.92497,6.958469,,17,,,
Kaserne Haupttor,50.855852,7.112769,162,,,,
Kaserne Nordtor,50.872563,7.107474,160,,,,
Kasselberg,51.036652,6.939358,121,,,,
Kendenicher Str.,50.901868,6.936724,131;138,,,,
Kettelerstr.,50.861012,6.932059,135,,,,
Keupstr.,50.966123,7.006732,150;151;152;153;155;260;434,4,,,
Kieler Str.,50.955902,7.004575,159;171,,,,
Kinderkrankenhaus,50.963219,6.968393,,16,,,
Kirschbaumweg,50.872788,6.993464,135,,,,
Kitschburger Str.,50.926309,6.901531,136,,,,
Klaprothstr.,50.949061,7.005869,159;171,,,,
Kleinfeldchensweg,50.94009,7.086143,154,,,,TaxiBus 187
Kleingartenanlage Ostheim,50.922381,7.032243,191,,,,TaxiBus 191
Klettenbergpark,50.907873,6.91933,,18,,,
Klingerstr.,50.883665,7.062519,151;152;160;161;162,,,,
Klinikum Merheim,50.939083,7.049215,158,,,,
Klosterhof,50.999823,7.032801,155;157,,,,
Koblenzer Str.,50.912493,6.967179,106,,,,
Kochwiesenstr.,50.963615,7.049763,195,,,,
Koelnmesse,50.943461,6.982048,,3;4,,,
Kolkrabenweg,50.964594,6.879211,141;143,,,,
Konrad-Adenauer-Str.,50.890424,6.986057,131,,,,
Konradstr.,50.920143,6.92751,130;134;978,,,,
Kopernikusschule,50.88771,7.070627,160,,,,
Koppensteinstr.,50.918642,6.902565,146,,,,
Korber Weg,51.005702,6.89025,121,,,,
Kornblumenweg,50.85845,7.0923,160,,,,
Krefelder Wall,50.954248,6.95037,127,,,,
Kretzerstr.,50.966986,6.963503,140,,,,
Krieger-Str.,50.879961,7.110665,161;423,,,,
Krieler Str.,50.921599,6.907383,146,,,,
Kuenstr.,50.961349,6.963143,,,,,TaxiBus 186
Kuthstr./Vingst,50.933258,7.021969,179,,,,
Kämpchensweg,50.944944,6.873143,144,,,,
Köln Hbf,50.943029,6.958721,,,S6;S11;S12;S19,RB24;RB25;RB26;RB27;RB38;RB48;RE1RRX;RE22;RE5RRX;RE6RRX;RE7;RE8;RE9,
Köln/Bonn Flughafen Bf,50.8789,7.119286,,,S19,RB27,ICE
Köln/Bonn Flughafen Terminal 2,50.881004,7.117731,161;423;SB60,,,,
Kölner Weg,50.931478,6.857493,143,,,,
Kölnstr.,50.864679,7.011721,131;134,,,,
Königsforst,50.919729,7.096903,154;423,9,,,AST 188
Körnerstr.,50.948324,6.920292,,3;4,,,
Kühzällerweg,50.97513,7.048541,157,,,,
Kürtenstr.,50.928467,7.017168,153,,,,
LVR Kliniken,50.936162,7.052011,158,,,,
Lacher Broch,50.95841,7.041026,195,,,,
Langel Fähre,51.052761,6.914521,121,,,,
Langel Kuhlenweg,51.046315,6.924777,121,,,,
Langel Mohlenweg,51.048635,6.920085,121,,,,
Langel Nord,51.051071,6.916354,121,,,,
Langenbergstr.,51.034171,6.886717,,,,,AST 181
Lehmbacher Weg Friedhof,50.932566,7.078987,,,,,TaxiBus 187
Leiblplatz,50.925959,6.915815,146,,,,
Leichweg,50.904196,6.949462,130;134,,,,
Leimbachweg,51.006682,7.02756,155;157,,,,
Leinsamenweg,50.945367,6.853394,144,,,,
Leipziger Platz,50.966473,6.955718,140,,,,
Lenauplatz,50.958554,6.918323,,5,,,
Lentpark,50.957853,6.963548,,,,,TaxiBus 184
Leopold-Gmelin-Str.,51.001145,6.986165,151;152,,,,
Lerchenweg,50.877642,6.960806,131;132,,,,
Lessingstr.,50.955713,6.915231,141;143,,,,
Leuchterstr.,50.996434,7.037646,154;155;157;260;434,4,,,
Leyboldstr.,50.897832,6.966164,132,,,,
Leyendeckerstr.,50.954464,6.909927,,3;4,,,
Liblarer Str.,50.900376,6.951691,131;133,,,,
Libur Kirche,50.838269,7.069477,163,,,,
Liebigstr.,50.952315,6.924148,142,5,,,
Lina-Bommer-Weg,50.918111,7.048927,151;152;191,,,,TaxiBus 191
Lindenburg (Universitätskliniken),50.922228,6.921676,,9,,,
Lindenweg,50.881058,6.962235,132,,,,
Linder Kreuz,50.846773,7.094341,162;505,,,,
Linder Mauspfad,50.850836,7.109317,160;162,,,,
Linder Weg,50.849775,7.104418,160;162,,,,
Lindweilerfeld,51.003077,6.889611,121,,,,
Lindweilerweg,50.995311,6.90154,121,,,,
Lippeweg,50.99185,7.043156,155;157;434,,,,
Lohsestr.,50.958104,6.955296,,12;15,,,
Longerich Friedhof,50.995553,6.911293,121;127;139,15,,,
Longerich S-Bahn,50.997738,6.901549,121;125;127;139,,S6;S11,,
Longericher Str.,50.996075,6.914592,121;127;139,15,,,
